62	The Newly Single Woman Convinced She's Going to Die Alone (via thecut.com)	Finished with therapy. It felt great
63	The Baraboo Nazi Prom Photo Shocked The World (via buzzfeednews.com)	This is a space where intentions don't matter
64	The Story of Caroline Calloway & Her Ghostwriter Natalie (via thecut.com)	The last time we saw each other in person that winter in New York
65	Why Is Joe Rogan So Popular? (via theatlantic.com)	As popular as he seems to be with quote-unquote regular guys
66	The Checklist Habit - David Perell (via perell.com)	The number of operations we'll need to perform will grow faster
67	The Checklist Habit - David Perell (via perell.com)	Externalizing our processes is the best way to see them with clear eyes
68	INTERIOR MONOLOGUE: DESIGN THEORIES (via thecontender.co)	I also think people try to resolve their homes too quickly
69	Twitter's Redesign Isn't About You - OneZero (via onezero.medium.com)	Twitter, as a company, seems to spend most of its time
70	My Son, The Prince Of Fashion (via gq.com)	Even as he followed his brother into this trend-driven
71	The Wild Ride at Babe.Net (via thecut.com)	I would find out later that most of that day had been carefully calibrated
72	The Wild Ride at Babe.Net (via thecut.com)	And yet babe.net was created during an era
73	The Untold Story of Otto Warmbier, American Hostage (via gq.com)	As the Trump administration and North Korea spun Otto's story
74	Tom Sachs on creative leadership and the importance of idealism (via voguebusiness.com)	Joe Torczon wrote his thesis on this pizza restaurant
75	Tom Sachs on creative leadership and the importance of idealism (via voguebusiness.com)	This is a teaching hospital. I'm not the best welder
76	Tom Sachs on creative leadership and the importance of idealism (via voguebusiness.com)	Vogue Business visited Sachs at his studio
77	America's Job Listings Have Gone Off the Deep End (via theatlantic.com)	Are you a code sensei? A customer-service rock star?
78	Shape Up (via basecamp.com)	The way a team works has an enormous influence on what it can do.
79	Jonathan Ive and the Future of Apple (via newyorker.com)	Their value proposition was 'Make it whatever you want.'
80	The ultimate guide to Google Sheets as a reliable data source (via towardsdatascience.com)	I'm here to convince you that Google Sheets
81	Jonathan Ive and the Future of Apple (via newyorker.com)	He craved products that didn't force adjustments of behavior
82	Jony Ive Is Leaving Apple (via daringfireball.net)	I don't worry that Apple is in trouble because Jony Ive is leaving
83	When did work-life balance become such a bad thing? (via m.signalvnoise.com)	So let's take a break from worksplaining
84	When did work-life balance become such a bad thing? (via m.signalvnoise.com)	Balance simple means that each portion of the system
85	This is not how I expected Monday to go! - Jen Gennai - Medium (via medium.com)	And maybe some people will take a pause and reflect
86	The Oral History of Virgil Abloh (via gq.com)	I've never heard Virgil say a negative thing in my whole life
87	There's No Such Thing as a Good Dog (via outsideonline.com)	What makes him a good dog in people's minds
88	The Unlikely Preacher of Action Sports (via outsideonline.com)	Like many major figures from the heyday of action sports
89	Inside the Cultish Dreamworld of Augusta National (via newyorker.com)	This isn't a golf tournament.
90	Inside the Cultish Dreamworld of Augusta National (via newyorker.com)	Everyone had the look of someone who was used to telling other people what to do.
91	Stay in the Game (via albertbridgecapital.com)	This is going to be an uncharacteristic departure for me.
92	How BioWare's Anthem Went Wrong (via kotaku.com)	At E3 2017, BioWare announced that Anthem would launch
93	How BioWare's Anthem Went Wrong (via kotaku.com)	Perhaps most alarming, it's a story about a studio in crisis.
94	This Man Makes Founders Cry - Backchannel (via wired.com)	Two years ago, Colonna moved to Boulder full time.
95	The Making of a YouTube Radical (via nytimes.com)	I was brainwashed.
96	The Mind-Boggling World Of Short-Story Writer Mr Ted Chiang (via mrporter.com)	The energy at work in Mr Chiang's stories is electric.
97	At UNTUCKit, Clothes Make the Man, and the Man Needs Help (via jezebel.com)	The hunger some entrepreneurs have for unnecessary disruption
98	Friends of the Pod (via nplusonemag.com)	This is why we love podcasts
99	Friends of the Pod (via nplusonemag.com)	Every day we find new ways to be online.
100	The Night The Lights Went Out (via theconcourse.deadspin.com)	I also hope you are loved and that you love others
